Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Карпа,Марія,Володимирівна,Жіноча,24.10.1974,Підприємець,хутір Южноукраїнськ,"провулок Мічуріна, буд. 401, Кремінна, 22707",043 881-56-02,mykhailynasheremeta@example.com
Іваненко,Златослава,Іванівна,Жіноча,21.08.1953,Бібліограф,хутір Бершадь,"узвіз Салтикова-Щедріна, буд. 2 кв. 700, Міусинськ, 22868",060 806 86 67,onysym60@example.net
Худяк,Наталія,Вікторівна,Жіноча,20.03.1941,Менеджер,селище Лебедин,"шосе Композитора Глинки, буд. 43 кв. 77, Шпола, 05863",+380 44 612-71-79,oksana32@example.org
Забарний,Ярина,Федорівна,Жіноча,06.02.1970,Перекладач,селище Золоте,"набережна Світла, буд. 443 кв. 924, Переяслав, 89308",055 028-78-15,valentyna64@example.net
Гупало,Пріска,Федорівна,Жіноча,09.02.1989,Ювелір,село Красногорівка,"парк Достоєвського, буд. 7 кв. 22, Балаклія, 31991",+380 (46) 279-52-99,raleksandrenko@example.net
Андрієвич,Богуслава,Федорівна,Жіноча,13.01.1989,Скульптор,селище Українськ,"проспект Світанку, буд. 6, Лубни, 94299",+380 (49) 297-93-68,bohuslava78@example.org
Корбут,Соломія,Вікторівна,Жіноча,27.03.1958,Парфюмер,селище Тульчин,"провулок Академіка Векслера, буд. 2 кв. 933, Волочиськ, 06382",022 57 80,danylodashenko@example.net
Вовк,Оксенія,Іванівна,Жіноча,29.06.1969,Промисловець,місто Борзна,"вулиця Лиманчик 2-й Лінія 9-та, буд. 7, Борщів, 22446",+380 49 766 81 83,khrystynaabrahamovskyi@example.net
Василенко,Роксолана,Федорівна,Жіноча,03.12.2007,Живописець,хутір Марганець ,"шосе Віри Холодної, буд. 25 кв. 92, Кіцмань, 66589",257 46 38,fedir76@example.net
Нестайко,Василина,Олександрівна,Жіноча,16.01.1985,Бібліотекар,селище Камінь-Каширський,"проспект Виїзна, буд. 3 кв. 86, Миколаїв, 40842",+380 20 874 94 82,frantsdakhno@example.net
Ващенко,Ліза,Михайлівна,Жіноча,13.02.1976,Епідеміолог,хутір Сімферополь,"набережна Аеропортівський 3-й, буд. 43, Дубровиця, 46029",415 23 49,fgerus@example.com
Абрамчук,Данна,Дмитрівна,Жіноча,09.11.1959,Нотаріус,місто Сміла,"узвіз Немировича-Данченка, буд. 7, Василівка , 17945",+380 64 014 98 34,parmen96@example.org
Єрмоленко,Пріска,Петрівна,Жіноча,25.05.2004,Мовознавець,село Покровськ,"площа Морський, буд. 75 кв. 03, Липовець, 57304",719-89-68,maryna75@example.org
Кабалюк,Надія,Сергіївна,Жіноча,25.08.1990,Археолог,село Миколаївка ,"узвіз Артилерійський 2-й, буд. 65, Петрово-Красносілля, 99944",089 849-25-96,tymofii20@example.net
Рябошапка,Ада,Сергіївна,Жіноча,30.12.1949,Акушер,село Сміла,"проспект Скляна, буд. 365, Рахів, 29725",+380 83 592 22 05,vanchenkorostyslav@example.org
Щириця,Марія,Петрівна,Жіноча,17.06.1999,Диригент,селище Макіївка,"провулок Уральський, буд. 557, Полонне, 62505",012 384-41-00,anitaisaievych@example.com
Бандера,Аніта,Вікторівна,Жіноча,09.03.1945,Педагог,місто Вишгород,"набережна Станційна 1-ша, буд. 373 кв. 0, Березань , 59839",709 08 17,solomiia57@example.org
Теличенко,Ада,Володимирівна,Жіноча,12.04.1950,Математик,місто Ямпіль,"провулок Стєклова, буд. 491, Тростянець, 02353",013 962 29 25,vasylechkovira@example.org
Вовк,Мілена,Федорівна,Жіноча,26.12.1947,Фармацевт,місто Роздільна,"провулок Розумовський 1-й, буд. 864, Селидове, 13904",043-32-94,jshakhrai@example.com
Вівчаренко,Маруся,Петрівна,Жіноча,07.05.1959,Ветеринар,хутір Ковель,"шосе Центральний аеропорт, буд. 6, Христинівка, 91929",+380 26 333-39-00,emiliia59@example.net
Бевз,Дарина,Сергіївна,Жіноча,15.05.2008,Машиніст,селище Балта,"парк Незалежності, буд. 9 кв. 7, Полтава, 09317",+380 85 707-19-84,jbakumenko@example.net
